captura,precio,agencia,aseos,zona,superficie,habitaciones,gastos,quiet,views,condo,amenities,piscina,terraza,jardín,ascensor,parking
2024-09-10,245000,Emma Barragán,5.0,Distrito Metropolitano Quito,300.0,4,196.0,0,0,0,0,0,0,0,0,0
2024-09-10,94000,Emma Barragán,3.0,Distrito Metropolitano Quito,116.0,2,114.0,0,0,0,0,0,0,0,1,0
2024-09-10,110000,Intramuros Constructora,2.0,Distrito Metropolitano Quito,79.0,1,29.0,0,0,0,0,0,0,0,0,0
2024-09-10,300551,Intramuros Constructora,3.0,Distrito Metropolitano Quito,157.0,3,177.0,0,0,0,0,0,1,1,1,0
2024-09-10,428502,Intramuros Constructora,4.0,Distrito Metropolitano Quito,249.0,3,186.0,0,0,0,0,0,1,1,1,0
2024-09-10,627486,Intramuros Constructora,4.0,Distrito Metropolitano Quito,464.0,3,71.0,0,0,0,0,1,1,1,1,0
2024-09-10,140056,Intramuros Constructora,2.0,Distrito Metropolitano Quito,88.0,1,48.0,0,0,0,0,1,1,1,1,0
2024-09-10,318994,SU CASA SOBRE LA ROCA,4.0,Distrito Metropolitano Quito,139.0,3,89.0,0,0,0,0,1,1,1,1,0
2024-09-10,220000,SU CASA SOBRE LA ROCA,4.0,Distrito Metropolitano Quito,290.0,3,195.0,0,0,0,0,0,1,0,0,0
2024-09-10,194039,SU CASA SOBRE LA ROCA,3.0,Distrito Metropolitano Quito,104.0,3,97.0,0,0,0,0,1,1,1,1,0
2024-09-10,135000,GS CONSTRUCCIONES Y BIENES RAÍCES,2.0,Distrito Metropolitano Quito,100.0,3,63.0,0,0,0,0,0,0,0,0,0
2024-09-10,280000,GS CONSTRUCCIONES Y BIENES RAÍCES,5.0,Distrito Metropolitano Quito,341.0,3,195.0,0,0,0,0,0,1,1,1,0
2024-09-10,110000,Johanna Chalen - Remax Impacta,4.0,Distrito Metropolitano Quito,183.0,3,198.0,0,0,0,0,0,1,0,1,0
2024-09-10,96900,Emerson Medina - Inmoimpakto,2.0,Distrito Metropolitano Quito,105.0,2,66.0,0,0,0,0,0,0,1,0,0
2024-09-10,95000,Cbr. Ximena Loma - Bienes Raíces LM,3.0,Distrito Metropolitano Quito,140.0,3,89.0,0,0,0,0,0,0,0,0,0
2024-09-10,95000,Cbr. Ximena Loma - Bienes Raíces LM,3.0,Distrito Metropolitano Quito,140.0,3,89.0,0,0,0,0,0,1,0,1,0
2024-09-10,50000,Diego Germán Unda - Remax Impacta,1.0,Distrito Metropolitano Quito,74.0,3,43.0,0,0,0,0,0,0,0,1,0
2024-09-10,136000,Fernando Falconi,2.0,Distrito Metropolitano Quito,93.0,3,39.0,0,0,0,0,0,1,0,0,0
2024-09-10,136000,Fernando Falconi,2.0,Distrito Metropolitano Quito,93.0,3,39.0,0,0,0,0,0,0,0,1,0
2024-09-10,150000,Carolina Silva,3.0,Distrito Metropolitano Quito,308.0,3,195.0,0,0,0,0,0,0,0,1,0
2024-09-10,157899,Andres Altamirano,2.0,Distrito Metropolitano Quito,87.0,2,69.0,0,0,0,0,0,1,1,0,0
2024-09-10,246286,Andres Altamirano,3.0,Distrito Metropolitano Quito,137.0,3,100.0,0,0,0,0,0,1,0,1,0
2024-09-10,150000,Carolina Silva,2.0,Distrito Metropolitano Quito,128.0,2,88.0,0,0,0,0,0,1,0,1,0
2024-09-10,450000,Carolina Silva,4.0,Distrito Metropolitano Quito,200.0,3,198.0,0,0,0,0,0,1,1,1,0
