Precio|Expensas|Dirección|Superficie Total (m²)|Superficie Cubierta (m²)|Ambientes|Baños|Descripción|Agente|Oficina|URL Propiedad|Whatsapp|Teléfono|Correo|Foto Agente
110.000 USD|+ 139 USD expensas|Suiza 3400|59.15|59.15|3|1|SE VENDE SUITE REPÚBLICA DEL SALVADOR|Carolina Aguilar|RE/MAX Asesoría Inmobiliaria|https://www.remax.com.ec/listings/se-vende-suite-republica-del-salvador|Sí|Sí|Sí|https://d2hy2ig0r5r41b.cloudfront.net/agents/cb3ee71c-16fb-4dba-8159-22dd7f9b762a/180x180/agentimage1710228931_28_08_2024_03_25_21_782.webp?
59.000 USD|+ 40 USD expensas|Mariscal Antonio José de Sucre S/N|111.57|92.07|6|1|Departamento de Venta Av. Occidental|Ana Lucia Donoso|RE/MAX Asesoría Inmobiliaria|https://www.remax.com.ec/listings/departamento-de-venta-av-occidental|Sí|Sí|Sí|https://d2hy2ig0r5r41b.cloudfront.net/agents/eb91bb4c-0737-49a0-bc2b-32e639187964/180x180/agentimage1706899976_29_08_2024_11_06_20_958.webp?
109.000 USD|+ 83 USD expensas|Francisco Dalmau S/N|174|136|8|2|En Venta Departamento 175m2 3 dormitorios Ponceano|Gabriela Moya|RE/MAX Asesoría Inmobiliaria|https://www.remax.com.ec/listings/en-venta-departamento-175m2-3-dormitorios-ponceano|Sí|Sí|Sí|https://d2hy2ig0r5r41b.cloudfront.net/agents/5ba2466f-49ec-420d-adb7-6e9a26a44a1a/180x180/agentimage1715785992_28_08_2024_03_22_58_288.webp?
240.000 USD|N/A|González Suárez S/N|430|330|9|3|Departamento en venta, PB, con Jardín, G. SUÁREZ|Margarita Rocio Guaycha V|RE/MAX Capital|https://www.remax.com.ec/listings/departamento-en-venta-pb-con-jardin-g-suarez|Sí|Sí|Sí|https://d2hy2ig0r5r41b.cloudfront.net/agents/2a0910ba-b0eb-461a-a4e9-1aa18419c2e3/180x180/agentimage817_17_08_2022_01_57_22.webp?
135.041 USD|+ 20 USD expensas|Avigiras S/N|92|88|3|2|Departamento 3 Dormitorios Jardines de Amagasi|Evelyn Estefanía Aules Camañero|RE/MAX Capital|https://www.remax.com.ec/listings/departamento-3-dormitorios-jardines-de-amagasi-2|Sí|Sí|Sí|https://d2hy2ig0r5r41b.cloudfront.net/agents/a3b6e010-c245-4ef0-9cf9-bafaef935223/180x180/agentimage1714_14_04_2023_12_38_10.webp?
135.041 USD|+ 20 USD expensas|Avigiras S/N|92|88|3|2|Departamento 3 Dormitorios Jardines de Amagasi|Evelyn Estefanía Aules Camañero|RE/MAX Capital|https://www.remax.com.ec/listings/departamento-3-dormitorios-jardines-de-amagasi-1|Sí|Sí|Sí|https://d2hy2ig0r5r41b.cloudfront.net/agents/a3b6e010-c245-4ef0-9cf9-bafaef935223/180x180/agentimage1714_14_04_2023_12_38_10.webp?
104.227 USD|+ 20 USD expensas|Avigiras S/N|69.66|69.66|4|1|Departamento 2 Dormitorios Jardines de Amagasi|Evelyn Estefanía Aules Camañero|RE/MAX Capital|https://www.remax.com.ec/listings/departamento-2-dormitorios-jardines-de-amagasi|Sí|Sí|Sí|https://d2hy2ig0r5r41b.cloudfront.net/agents/a3b6e010-c245-4ef0-9cf9-bafaef935223/180x180/agentimage1714_14_04_2023_12_38_10.webp?
162.906 USD|+ 45 USD expensas|Avigiras S/N|146|86|4|2|Departamento 3 Dormitorios Jardines de Amagasi|Evelyn Estefanía Aules Camañero|RE/MAX Capital|https://www.remax.com.ec/listings/departamento-3-dormitorios-jardines-de-amagasi|Sí|Sí|Sí|https://d2hy2ig0r5r41b.cloudfront.net/agents/a3b6e010-c245-4ef0-9cf9-bafaef935223/180x180/agentimage1714_14_04_2023_12_38_10.webp?
110.000 USD|+ 100 USD expensas|Manuel Valdiviezo S/N|115|95|3|2|Venta Departamento 2 Habitaciones El Pinar|Evelyn Estefanía Aules Camañero|RE/MAX Capital|https://www.remax.com.ec/listings/venta-departamento-2-habitaciones-el-pinar|Sí|Sí|Sí|https://d2hy2ig0r5r41b.cloudfront.net/agents/a3b6e010-c245-4ef0-9cf9-bafaef935223/180x180/agentimage1714_14_04_2023_12_38_10.webp?
430.000 USD|+ 330 USD expensas|González Suárez S/N|212.24|153.24|15|3|Departamento Exclusivo 212.10 M2 2 parqueaderos|Paulina Suasnavas|RE/MAX Capital|https://www.remax.com.ec/listings/departamento-exclusivo-212-10-m2-2-parqueaderos-1|Sí|Sí|Sí|https://d2hy2ig0r5r41b.cloudfront.net/agents/21f5097e-084f-47f0-8aef-c7f11e1325fc/180x180/agentimage170_17_08_2022_03_57_23.webp?
88.076 USD|+ 40 USD expensas|Pasaje Dolomitas y de los Naranjos S/N|63.87|63.87|5|1|Suite en Venta Monteserrin 64,28m2 B10|Yury Chirinos|RE/MAX Capital|https://www.remax.com.ec/listings/suite-en-venta-monteserrin-64-28m2-b10|Sí|Sí|Sí|https://d2hy2ig0r5r41b.cloudfront.net/agents/099921bb-45d5-47a8-82a1-62db4c80c0dd/180x180/agentimage65_17_08_2022_05_11_56.webp?
173.240 USD|+ 40 USD expensas|Pasaje Dolomitas y de los Naranjos S/N|121.91|121.91|7|2|Departamento en Venta Monteserrin 3 dormitorios B1|Yury Chirinos|RE/MAX Capital|https://www.remax.com.ec/listings/departamento-en-venta-monteserrin-3-dormitorios-b1-1|Sí|Sí|Sí|https://d2hy2ig0r5r41b.cloudfront.net/agents/099921bb-45d5-47a8-82a1-62db4c80c0dd/180x180/agentimage65_17_08_2022_05_11_56.webp?
98.000 USD|+ 112 USD expensas|Gonzalo Endara Crown 0|107|87|5|1|SUITE EN VENTA 87 m2 LOMAS DE MONTESERIN|Steven Salas|RE/MAX Capital|https://www.remax.com.ec/listings/suite-en-venta-87-m2-lomas-de-monteserin|Sí|Sí|Sí|https://d2hy2ig0r5r41b.cloudfront.net/agents/d13c432c-c6fe-4121-8d09-60d2206da46b/180x180/agentimage28_17_08_2022_04_55_38.webp?
300.000 USD|+ 180 USD expensas|Pasaje Pons y Pasaje Girasol S/N|267|170|9|2|Tumbaco-Departamento en venta cercano Ruta Viva|Paulo Gabriel Callejas Campelo|RE/MAX Asesoría Inmobiliaria|https://www.remax.com.ec/listings/tumbaco-departamento-en-venta-cercano-ruta-viva|Sí|Sí|Sí|https://d2hy2ig0r5r41b.cloudfront.net/agents/5bb7be92-eb2b-456d-b01a-88d3175e063f/180x180/agentimage1802179315_28_08_2024_04_51_53_045.webp?
